15070,142.22,104.71
15078,141,105.11
15086,139.78,105.51
15095,138.56,105.92
15103,137.26,99.813
15111,141.48,100.22
15120,145.7,100.63
15128,143.66,98.501
15136,141.62,96.363
15145,139.59,94.24
15153,138.71,94.255
15161,139.6,94.732
15170,140.49,95.212
15178,142.37,101.72
15186,139.57,102.64
15195,136.76,103.55
15203,134.76,97.387
15211,137.92,97.298
15220,141.08,97.21
15228,141.76,100.54
15236,141.34,99.706
15245,140.92,98.869
15253,140.47,97.305
15261,141.6,99.372
15270,142.73,101.45
15278,142.78,100.6
15286,142.83,99.75
15295,142.87,98.9
15303,140.95,94.222
15311,139.02,89.54
15320,137.09,84.835
15328,138.97,101.55
15336,138.75,100.85
15345,138.52,100.15
15353,137.91,91.379
15361,140.61,94.672
15370,143.34,97.987
15378,145.48,102.52
15386,143.42,103.17
15395,141.35,103.81
15403,130.89,106.88
15411,121.59,112.22
15420,112.29,117.56
15428,108.03,120.02
15436,108.15,121.81
15445,108.28,123.6
15453,107.8,124.19
15461,107.32,124.78
15470,106.84,125.37
15478,110.35,130.88
15486,111.97,129.76
15495,113.59,128.62
15503,108.77,122.42
15511,108.7,123.31
15520,108.64,124.2
15528,108.13,121.49
15536,107.76,119.76
15545,107.39,118.03
15553,108.37,121.99
15561,107.61,122.27
15570,106.84,122.54
15578,107.83,123.27
15586,108.82,124
15595,109.81,124.73
15603,109.74,121.85
15611,109.66,119.01
15620,109.58,116.17
15628,108.34,114.42
15636,107.09,112.66
15645,105.86,110.93
15653,106.23,112.79
15661,106.6,114.66
15670,106.97,116.53
15678,105.14,116.64
15686,103.29,116.75
15695,101.44,116.85
15703,101.8,117.33
15711,102.15,117.81
15720,102.51,118.29
15728,103.07,118.39
15736,103.64,118.49
15745,104.21,118.59
15753,104.17,117.83
15761,104.12,117.06
15770,104.08,116.31
15778,102.96,117.07
15786,101.84,117.84
15795,100.72,118.6
15803,101.77,118.52
15811,102.83,118.44
15820,103.88,118.37
15828,102.64,118.23
15836,101.43,118.1
15845,100.2,117.97
15853,101.45,119.9
15861,102.71,121.84
15870,103.96,123.78
15878,103.15,123.71
15886,102.33,123.64
15895,101.51,123.57
15903,102.67,123.35
15911,103.82,123.13
15920,104.97,122.91
15928,104.58,122.16
15936,104.19,121.42
