0	-12354	0	0	1440	1440	55	0
0	-12346	1492	0	21	1440	55	0
0	-12337	1474	0	77	1440	55	0
0	-12329	1457	0	132	1440	55	0
0	-12321	1439	0	187	1440	55	1
0	-12312	1447	0	165	1440	55	1
0	-12304	1455	0	143	1440	55	1
0	-12296	1463	0	121	1440	55	1
0	-12287	1459	0	96	1440	55	1
0	-12279	1455	0	72	1440	55	1
0	-12271	1450	0	48	1440	55	1
0	-12262	1477	0	58	1440	55	1
0	-12254	1505	0	67	1440	55	1
0	-12246	1532	0	77	1440	55	1
0	-12237	1503	0	97	1440	55	1
0	-12229	1475	0	117	1440	55	1
0	-12221	1446	0	137	1440	55	1
0	-12212	1434	0	132	1440	55	1
0	-12204	1422	0	126	1440	55	1
0	-12196	1409	0	121	1440	55	1
0	-12187	1436	0	121	1440	55	1
0	-12179	1462	0	121	1440	55	1
0	-12171	1488	0	121	1440	55	1
0	-12162	1509	0	124	1440	55	1
0	-12154	1530	0	126	1440	55	1
0	-12146	1551	0	128	1440	55	1
0	-12137	1520	0	138	1440	55	1
0	-12129	1490	0	148	1440	55	1
0	-12121	1460	0	158	1440	55	1
0	-12112	1469	0	155	1440	55	1
0	-12104	1478	0	152	1440	55	1
0	-12096	1487	0	149	1440	55	1
0	-12087	1461	0	144	1440	55	1
0	-12079	1435	0	139	1440	55	1
0	-12071	1409	0	134	1440	55	1
0	-12062	1386	0	235	1440	55	0
0	-12054	1364	0	337	1440	55	0
0	-12046	1342	0	437	1440	55	0
0	-12037	1320	0	537	1440	55	0
0	-12029	1298	0	638	1440	55	0
0	-12021	1276	0	739	1440	55	0
0	-12012	1254	0	767	1440	55	0
0	-12004	1231	0	794	1440	55	0
0	-11996	1209	0	822	1440	55	0
0	-11987	1178	1255	896	823	55	2
0	-11979	1177	626	898	1132	55	2
0	-11971	1176	0	899	1440	55	2
0	-11962	1159	1188	880	791	55	2
0	-11954	1122	596	849	1114	55	2
0	-11946	1085	0	818	1440	55	2
0	-11937	1139	1132	951	746	55	0
0	-11929	1138	565	959	1094	55	0
0	-11921	1137	0	966	1440	55	0
0	-11912	1111	0	895	1440	55	3
0	-11904	1118	0	890	1440	55	3
0	-11896	1126	0	885	1440	55	3
0	-11887	1086	1114	880	734	55	3
0	-11879	1091	557	882	1087	55	3
0	-11871	1096	0	884	1440	55	3
0	-11862	1268	1063	1033	653	55	0
0	-11854	1250	532	1006	1046	55	0
0	-11846	1231	0	979	1440	55	0
0	-11837	1159	1043	778	575	55	0
0	-11829	1158	523	784	1006	55	0
0	-11821	1157	0	789	1440	55	0
0	-11812	1103	1130	696	685	55	0
0	-11804	1084	565	664	1062	55	0
